ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,New ▾ -> Labor Pricing navigates to the Labor create route,,,,,Automated,Omeesha Mahanta,,,"Selecting ""Labor Pricing"" from the New ▾ menu navigates to the Labor New Pricebook create page (add?type=labor) - driven by the menu-item click, not by typing the URL",,,corporate-pricing,,"On the Corporate Pricing Search screen

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Labor Pricing""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the New ▾ menu.</li>
<li>2. Click ""Labor Pricing""</li>
</ol>",,,"1. The New ▾ dropdown menu opens and displays its menu items.
2. Selecting ""Labor Pricing"" from the New ▾ menu navigates to the Labor New Pricebook create page (add?type=labor) - driven by the menu-item click, not by typing the URL",,,,Master,S1620,Test Case (Steps),Regression,,,
,"An existing pricebook opens in management mode (both tabs, Save disabled on clean load)",,,,,Automated,Omeesha Mahanta,,,"An existing pricebook opens in management mode with both tabs (Pricing Strategy + Pricing Detail); the create-mode ""New Pricebook"" heading is absent (this is a managed record, not the create form); Save is disabled on a clean load. The deep inline-edit / save-cycle / persist-on-reload coverage for this surface is owned by the Pricing Detail band (TC-CPR-DET-*) and the Strategy band (TC-CPR-STR-*) - cited here, not duplicated",,,corporate-pricing,,"A saved pricebook fixture exists (2021-PB6, the Pricing Detail fixture). Management mode is reversible (reload discards unsaved edits), unlike create

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Navigate to the existing pricebook's Details page (management mode).</li>
<li>2. Read the tab labels and the page heading.</li>
<li>3. Read the Save button's enabled state on a clean (unedited) load</li>
</ol>",,,"1. The existing pricebook's Details page loads in management mode.
2. The page displays the Pricing Strategy and Pricing Detail tab labels along with the page heading.
3. An existing pricebook opens in management mode with both tabs (Pricing Strategy + Pricing Detail); the create-mode ""New Pricebook"" heading is absent (this is a managed record, not the create form); Save is disabled on a clean load. The deep inline-edit / save-cycle / persist-on-reload coverage for this surface is owned by the Pricing Detail band (TC-CPR-DET-*) and the Strategy band (TC-CPR-STR-*) - cited here, not duplicated",,,,Master,S1620,Test Case (Steps),Regression,,,
,Management-mode inline Max Discount edit enables Save (save-gate; NO-COMMIT),,,,,Automated,Omeesha Mahanta,,,"A management-mode inline Max Discount edit makes the form dirty and enables Save (the save-gate). The test stops at Save-enable and discards via reload - it does not commit, so the fixture is unchanged. (The full inline-edit / dirty-lever asymmetry / persist-after-save coverage is owned by TC-CPR-DET-*; this asserts only the create->manage save-gate transition.)",,,corporate-pricing,,"On an existing pricebook's Pricing Detail tab (management mode), Save disabled on clean load

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Edit an anchored row's Max Discount via keyboard to a value different from the current one (Max Discount is the reliable dirty lever - a New-Price-only edit does not reliably enable Save, a known quirk).</li>
<li>2. Observe the Save button.</li>
<li>3. Do NOT commit - discard by reloading (management-mode edits are reversible)</li>
</ol>",,,"1. The Max Discount cell accepts the new keyboard-entered value and displays it.
2. The Save button becomes enabled.
3. A management-mode inline Max Discount edit makes the form dirty and enables Save (the save-gate). The test stops at Save-enable and discards via reload - it does not commit, so the fixture is unchanged. (The full inline-edit / dirty-lever asymmetry / persist-after-save coverage is owned by TC-CPR-DET-*; this asserts only the create->manage save-gate transition.)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Empty Price Year shows a visible required/invalid indicator (Save disabled),,,,,Automated,Omeesha Mahanta,,,With Price Year empty the field reports is invalid AND renders a visible red/destructive border (it is NOT silently disabled with no indicator); entering a valid year clears the invalid state (is valid) and the red border. The current build clearly indicates the required/invalid state,,,corporate-pricing,,"On a freshly-loaded Equipment New Pricebook page (Price Year empty)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. On a fresh create page, read the Price Year field's invalid state with the year empty.</li>
<li>2. Enter a valid year and re-read the invalid state</li>
</ol>",,,"1. With the Price Year field empty, it reports an invalid state and shows a red/destructive border.
2. With Price Year empty the field reports is invalid AND renders a visible red/destructive border (it is NOT silently disabled with no indicator); entering a valid year clears the invalid state (is valid) and the red border. The current build clearly indicates the required/invalid state",,,,Master,S1620,Test Case (Steps),Regression,,,
,An existing pricebook name raises no client-side inline uniqueness error,,,,,Automated,Omeesha Mahanta,,,"Entering an existing pricebook name raises no client-side inline uniqueness error (validation error stays false, no ""already exists"" text) and does not block the form client-side - unlike strategy names, which DO validate uniqueness client-side. Pricebook-name uniqueness is not enforced client-side; the server-side rule cannot be exercised here without committing two duplicate pricebooks, which is irreversible, so this stays a no-commit client-side-only check",,,corporate-pricing,,"On the Equipment New Pricebook page; an existing pricebook name is known

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Enter the name of an EXISTING pricebook into the Pricebook Name field.</li>
<li>2. Blur the field and wait briefly for any async validation.</li>
<li>3. Read the Name field's invalid state and check for an inline uniqueness error</li>
</ol>",,,"1. The Pricebook Name field displays the entered existing pricebook name.
2. The field loses focus and the wait period elapses, allowing any asynchronous validation to run.
3. Entering an existing pricebook name raises no client-side inline uniqueness error (validation error stays false, no ""already exists"" text) and does not block the form client-side - unlike strategy names, which DO validate uniqueness client-side. Pricebook-name uniqueness is not enforced client-side; the server-side rule cannot be exercised here without committing two duplicate pricebooks, which is irreversible, so this stays a no-commit client-side-only check",,,,Master,S1620,Test Case (Steps),Regression,,,
,Search pricebook-name cells navigate to the pricebook Details (link-cell render-state),,,,,Automated,Omeesha Mahanta,,,"The pricebook-name cell is a link affordance and clicking it navigates to that pricebook's Details page (details/<guid>) in management mode - the ""pricebook links navigate"" render-state check. A non-link where a link is expected would be investigated as a potential issue, never reported blindly",,,corporate-pricing,,"On the Corporate Pricing Search screen with the pricebook list rendered

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Read a known pricebook-name cell in the Search grid's first column.</li>
<li>2. Click the pricebook-name cell</li>
</ol>",,,"1. The pricebook-name cell is visible in the grid's first column, rendered as a link/button affordance.
2. The pricebook-name cell is a link affordance and clicking it navigates to that pricebook's Details page (details/<guid>) in management mode - the ""pricebook links navigate"" render-state check. A non-link where a link is expected would be investigated as a potential issue, never reported blindly",,,,Master,S1620,Test Case (Steps),Regression,,,
,Every rendered pricebook-name cell is a navigable link + Currency renders (render-state DEEP),,,,,Automated,Omeesha Mahanta,,,"Every rendered pricebook-name cell carries the link affordance (no non-link where a link is expected); the Currency column renders a currency code (e.g. USD). Navigation of a link cell is proven by TC-CPR-NPB-041. Asserted by content/affordance, never an exact row count",,,corporate-pricing,,"On the Corporate Pricing Search screen with the pricebook list rendered

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Enumerate every pricebook-name cell on the first page of the grid.</li>
<li>2. Assert each carries the link/button affordance (structural - never a strict count).</li>
<li>3. Click a sample (the first) and confirm it navigates to Details.</li>
<li>4. Read a row's Currency cell</li>
</ol>",,,"1. The enumeration returns the full set of pricebook-name cells rendered on the page.
2. Every enumerated cell carries the link/button affordance with no plain-text exceptions.
3. Clicking the first pricebook-name cell navigates to that pricebook's Details page.
4. Every rendered pricebook-name cell carries the link affordance (no non-link where a link is expected); the Currency column renders a currency code (e.g. USD). Navigation of a link cell is proven by TC-CPR-NPB-041. Asserted by content/affordance, never an exact row count",,,,Master,S1620,Test Case (Steps),Regression,,,
,Search boolean columns render per the table's boolean format (render-state DEEP),,,,,Automated,Omeesha Mahanta,,,"The boolean columns render per the table's boolean format (Unicode -> for TRUE / empty for FALSE on this grid); a TRUE cell and a FALSE cell are distinguishable by their render, not assumed. No strict count",,,corporate-pricing,,"On the Corporate Pricing Search screen with the pricebook list rendered

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Read the grid headers (the 5 boolean columns: Is GSO / Is Internal / Is Labor / Is Active / Is Productions).</li>
<li>2. Read the boolean cell render for those columns across the visible rows</li>
</ol>",,,"1. The grid header row displays all five boolean column labels: Is GSO, Is Internal, Is Labor, Is Active, Is Productions.
2. The boolean columns render per the table's boolean format (Unicode -> for TRUE / empty for FALSE on this grid); a TRUE cell and a FALSE cell are distinguishable by their render, not assumed. No strict count",,,,Master,S1620,Test Case (Steps),Regression,,,
,Create-mode empty-state hint reads verbatim + a one-product grid renders (empty-vol QUICK),,,,,Automated,Omeesha Mahanta,,,"The empty-state hint reads verbatim ""No items added yet - Double-click or drag product groups from the sidebar""; after one add the grid renders exactly that one product group (content-based, the 1-item volume case)",,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Detail tab, empty pricebook grid

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Read the empty-state hint on the empty destination grid.</li>
<li>2. Add one product group and read the grid</li>
</ol>",,,"1. The empty destination grid displays its empty-state hint text.
2. The empty-state hint reads verbatim ""No items added yet - Double-click or drag product groups from the sidebar""; after one add the grid renders exactly that one product group (content-based, the 1-item volume case)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Create-mode 0/1/N volume + source-catalog virtualization integrity (empty-vol DEEP),,,,,Automated,Omeesha Mahanta,,,"The grid renders 0 -> 1 -> N states by content (never a strict count). The source catalog is virtualized; an off-screen product group not initially on the page is reachable by content once filtered via the source search - virtualization integrity holds (content-based reads, not a count)",,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Detail tab

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Confirm the destination grid is empty (0 rows / empty-state).</li>
<li>2. Add a first product group (1 row), then a second distinct group (N rows) - content-based.</li>
<li>3. In the (virtualized ~3707-item) source list, type a known off-screen group name into the source search and confirm it becomes reachable/visible by content</li>
</ol>",,,"1. The destination grid shows zero rows and its empty-state message.
2. The grid shows one row after the first add, then two distinct rows after the second add.
3. The grid renders 0 -> 1 -> N states by content (never a strict count). The source catalog is virtualized; an off-screen product group not initially on the page is reachable by content once filtered via the source search - virtualization integrity holds (content-based reads, not a count)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Create-mode unsaved changes survives a Strategy ↔ Detail tab switch (persistence QUICK),,,,,Automated,Omeesha Mahanta,,,"The in-session unsaved changes survives the tab switch - the added strategy (Total: 1) and the added product-group row are both still present after switching tabs and back (no loss, no reset)",,,corporate-pricing,,"On the Equipment New Pricebook page with one strategy added and one product group added (dirty, unsaved)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Add a strategy (Pricing Strategy tab) and a product group (Pricing Detail tab) - the form is now dirty.</li>
<li>2. Switch to the Pricing Strategy tab, then back to the Pricing Detail tab.</li>
<li>3. Read the strategy count and the grid</li>
</ol>",,,"1. The strategy list shows one strategy and the Pricing Detail grid shows one added product group.
2. Each tab becomes active and displays its content as it is selected.
3. The in-session unsaved changes survives the tab switch - the added strategy (Total: 1) and the added product-group row are both still present after switching tabs and back (no loss, no reset)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Create-mode dirty discards on navigate-away (beforeunload) -> reload shows empty form (persistence DEEP),,,,,Automated,Omeesha Mahanta,,,"An unsaved create form is NOT persisted - navigating away triggers the beforeunload guard and, on reload of the create page, the form is empty (Name blank, zero strategies). NO-COMMIT discipline: nothing was saved",,,corporate-pricing,,"On the Equipment New Pricebook page with Name + Year + a strategy set (dirty, unsaved). The test fixture auto-accepts the beforeunload dialog

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Make the create form dirty (Name + Year + one strategy).</li>
<li>2. Navigate away (re-open the fresh create page) - the dirty form guards via beforeunload.</li>
<li>3. Read the create form fields after reload</li>
</ol>",,,"1. The form holds the entered Name, Year, and one added strategy, and is in a dirty (unsaved) state.
2. A beforeunload confirmation prompt appears when navigating away from the dirty form.
3. An unsaved create form is NOT persisted - navigating away triggers the beforeunload guard and, on reload of the create page, the form is empty (Name blank, zero strategies). NO-COMMIT discipline: nothing was saved",,,,Master,S1620,Test Case (Steps),Regression,,,
,Removing the only strategy returns Save to disabled - no net change (persistence DEEP),,,,,Automated,Omeesha Mahanta,,,"Removing the only strategy returns the form to its pre-strategy state - Save goes back to disabled (≥1 strategy required; reverting the change leaves no net difference). The Save gate tracks the live precondition, not a one-way latch",,,corporate-pricing,,"On the Equipment New Pricebook page with Name + Year set

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. With Name + Year set, add one strategy</li>
<li>2. Remove that strategy (its in-session Remove control).</li>
<li>3. Observe the Save button</li>
</ol>",,,"1. The strategy list shows one added strategy and the Save button becomes enabled.
2. The strategy is removed and the strategy list returns to zero entries.
3. Removing the only strategy returns the form to its pre-strategy state - Save goes back to disabled (≥1 strategy required; reverting the change leaves no net difference). The Save gate tracks the live precondition, not a one-way latch",,,,Master,S1620,Test Case (Steps),Regression,,,
,Source-list search filters the product-group catalog to matches (result-fidelity QUICK),,,,,Automated,Omeesha Mahanta,,,"The source-list search filters the product-group catalog to items matching the query (the searched group is present; the result set reflects the query - result-fidelity). content-based, never a strict count",,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Detail tab, full source catalog rendered

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Search ID or Name...""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Type a known product-group name fragment into the source ""Search ID or Name..."" box.</li>
<li>2. Read the visible source rows</li>
</ol>",,,"1. The source search box displays the typed text and the source list updates as it is typed.
2. The source-list search filters the product-group catalog to items matching the query (the searched group is present; the result set reflects the query - result-fidelity). content-based, never a strict count",,,,Master,S1620,Test Case (Steps),Regression,,,
,Source search by exact name narrows then clears to restore the full catalog (result-fidelity DEEP),,,,,Automated,Omeesha Mahanta,,,Searching the source list by an exact name narrows it to the matching item(s); clearing the search restores the full catalog (> 1 item again). The result set faithfully reflects the query and its clearing - never a strict count,,,corporate-pricing,,"On the Equipment New Pricebook page, Pricing Detail tab

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Record that the unfiltered source catalog has many items (> 1).</li>
<li>2. Search the source list for an exact group name</li>
<li>3. Clear the source search</li>
</ol>",,,"1. The unfiltered source catalog displays more than one product group.
2. The source list narrows to show only the matching product group.
3. Searching the source list by an exact name narrows it to the matching item(s); clearing the search restores the full catalog (> 1 item again). The result set faithfully reflects the query and its clearing - never a strict count",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Labor Save opens the confirmation dialog, and Cancel aborts without committing",,,,,Automated,Omeesha Mahanta,,,"On the Labor route, clicking Save opens the same ""Save Changes"" confirmation dialog as Equipment, and Cancel closes it without saving - proving the Save action is reachable on the Labor route (not merely that the button enables). The test stops at the confirmation step because a created pricebook cannot be removed through the UI. This is the Labor counterpart of the Equipment dialog->Cancel test (TC-CPR-NPB-024); the Labor route previously had only a Save-enable check",,,corporate-pricing,,"On the Labor New Pricebook page with a savable form (Name + Year + one strategy)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Click the enabled Save button.</li>
<li>2. Click ""Cancel"" in the confirmation dialog that appears</li>
</ol>",,,"1. The ""Save Changes"" confirmation dialog appears.
2. On the Labor route, clicking Save opens the same ""Save Changes"" confirmation dialog as Equipment, and Cancel closes it without saving - proving the Save action is reachable on the Labor route (not merely that the button enables). The test stops at the confirmation step because a created pricebook cannot be removed through the UI. This is the Labor counterpart of the Equipment dialog->Cancel test (TC-CPR-NPB-024); the Labor route previously had only a Save-enable check",,,,Master,S1620,Test Case (Steps),Regression,,,
,Saving a new Labor pricebook persists it - created book reloads + is found by Search with its product group,,,,,Automated,Omeesha Mahanta,,,"The commit redirects to /details/<new-guid> (the record now exists). On reload of the new book's Pricing Detail tab, the added Labor product group (Banners Design) is still present (content-based, never a count). The new book is discoverable by its unique name on the Search screen ""only when the ""Is Labor"" filter is turned on"" - the Search hides Labor pricebooks by default (a Labor-vs-Equipment behavior the Equipment commit test does not exercise). If this ever fails on ""can't add"", the likely cause is the unique source product groups have been used up (the UI has no delete to recycle them) - escalate then, not pre-emptively",,,corporate-pricing,,"On the Labor New Pricebook page (office 1604). This environment is single-tenant (ours), so committing a real Labor pricebook is accepted (user-authorized). A created pricebook is irreversible via the UI (no delete/deactivate), so this test leaves a permanent record by design

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Save Changes""
Sample input 2: ""Is Labor""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Build a savable, non-empty Labor pricebook: enter a unique Pricebook Name (a distinct Labor prefix + a passed-in run-stamp from the pricebook run stamp env var, falling back to the test-runner pid - never a clock/random value), enter a Price Year, add one strategy via the dialog, switch to the Pricing Detail tab and add one Labor product group (Banners Design).</li>
<li>2. Confirm Save is enabled, click Save, and confirm the ""Save Changes"" dialog (COMMIT).</li>
<li>3. After the commit redirects to the new pricebook's Details page, reload that Details page and read the Pricing Detail grid.</li>
<li>4. Open the Corporate Pricing Search screen, turn Active-Only off, turn the ""Is Labor"" filter ON, filter by the unique name, and Search</li>
</ol>",,,"1. The form holds a unique Labor Pricebook Name, a valid Price Year, one strategy, and one added Labor product group (Banners Design).
2. Confirming the ""Save Changes"" dialog commits the Labor pricebook and redirects to its new Details page.
3. The reloaded Details page displays the Pricing Detail grid with the added Labor product group still present.
4. The commit redirects to /details/<new-guid> (the record now exists). On reload of the new book's Pricing Detail tab, the added Labor product group (Banners Design) is still present (content-based, never a count). The new book is discoverable by its unique name on the Search screen ""only when the ""Is Labor"" filter is turned on"" - the Search hides Labor pricebooks by default (a Labor-vs-Equipment behavior the Equipment commit test does not exercise). If this ever fails on ""can't add"", the likely cause is the unique source product groups have been used up (the UI has no delete to recycle them) - escalate then, not pre-emptively",,,,Master,S1620,Test Case (Steps),Regression,,,
